bus,station,v_nom_kV,jurisdiction,x,y,has_coordinates,ac_component,is_wind_node,wind_farms,wind_MW,other_generators,other_gen_MW,load_MW
3431,KILMAHUD,110.0,IE,-6.4540511,53.3259419,True,0,False,0,0.0,0,0.0,35.0
3441,KILVINOGE,110.0,IE,-7.08179475,52.46106795,False,0,False,0,0.0,1,135.8,0.0
3461,KILPADDOGE,110.0,IE,-9.3963977,52.5801792,True,0,True,1,18.0,0,0.0,0.0
3462,KILPADDOGE,220.0,IE,-9.3963977,52.5801792,True,0,False,0,0.0,0,0.0,0.0
3464,KILP,380.0,IE,-9.3963977,52.5801792,True,0,False,0,0.0,0,0.0,0.0
3471,CASTLEBAGOT,110.0,IE,-6.4497194,53.3166943,True,0,False,0,0.0,0,0.0,0.0
3472,CASTLEBAGOT,220.0,IE,-6.4497194,53.3166943,True,0,False,0,0.0,0,0.0,0.0
3481,COOLNANOONAG,110.0,IE,-9.3963977,52.5801792,False,0,True,1,37.0,0,0.0,0.0
3491,LISLEA,110.0,IE,-7.1045616,54.1217547,False,0,True,1,48.9,0,0.0,0.0
3501,LANESBORO_A1,110.0,IE,-7.9157876,53.5831138,False,0,True,2,9.55,1,4.0,20.06
3511,LICKNY,110.0,IE,-7.3716668,53.5383686,False,0,True,2,97.5,0,0.0,0.0
3521,LOUTHA,110.0,IE,-6.5657571,53.9674714,True,0,False,0,0.0,1,50.0,0.0
3522,LOUTH,220.0,IE,-6.5657571,53.9674714,True,0,False,0,0.0,0,0.0,0.0
3531,LYSAGHTSTOWN,110.0,IE,-8.2307526,51.935749,True,0,False,0,0.0,2,147.0,0.0
3541,LIMERICK,110.0,IE,-8.6416309,52.634953,True,0,False,0,0.0,2,8.95,102.38999999999999
3550,COOLNABACKY_,110.0,IE,-6.6881005,53.1543743,False,0,False,0,0.0,0,0.0,0.0
3551,COOLNABACKY,110.0,IE,-7.1710771,52.896134599999996,False,0,False,0,0.0,2,80.0,0.0
3554,COOLNABACKY,380.0,IE,-6.6881005,53.1543743,False,0,False,0,0.0,0,0.0,0.0
3561,LISDRUM,110.0,IE,-6.9102424,54.2447228,True,0,True,1,33.1,0,0.0,39.15
3571,DERRYCARNEY,110.0,IE,-7.7961871,53.2271141,True,0,True,1,34.0,0,0.0,0.0
3581,LETTERKENNY,110.0,IE,-7.6977545,54.9241287,True,0,True,7,60.27,0,0.0,74.24
3591,LENALEA,110.0,IE,-7.8642829,54.9028813,True,0,True,1,30.5,0,0.0,0.0
3601,LIBERTY ST,110.0,IE,-8.4461681,51.8991554,False,0,False,0,0.0,0,0.0,26.07
3611,LIBERTY ST,110.0,IE,-8.4461681,51.8991554,False,0,False,0,0.0,0,0.0,0.0
3621,LISHEEN,110.0,IE,-7.6819128,52.7513555,True,0,True,2,68.4,0,0.0,0.0
3631,FREAGH,110.0,IE,-8.36335075,52.75063045,False,0,False,0,0.0,0,0.0,0.0
3641,LODGEWOOD,110.0,IE,-6.5375093,52.579161,True,0,False,0,0.0,1,20.0,0.0
3642,LODGEWOOD,220.0,IE,-6.5375093,52.579161,True,0,False,0,0.0,0,0.0,0.0
3651,BARNAKYLE,110.0,IE,-6.4477366,53.3146332,True,0,False,0,0.0,0,0.0,66.0
