branch,kind,bus0,bus1,x_pu,susceptance,phase_shift_rad,s_nom,is_phase_shifter,peak_snapshot,peak_flow_MW,max_loading_pct,mean_loading_pct,hours_at_rating,sign,sign_agreement_when_busy,sign_ever_flips
85020-90320-2,Line,85020,90320,0.0001098,9107.468123861567,0.0,881.0,False,2030-01-16 17:00:00,252.02591344225104,28.606800617735644,9.567008964698738,0,1,,True
85510-87510-1,Line,85510,87510,0.0011321999999999999,883.2361773538245,0.0,157.0,False,2030-01-20 08:00:00,107.3820999009737,68.39624197514247,22.977082957184784,0,1,1.0,False
86511-90012-1,Line,86511,90012,0.0008039999999999999,1243.7810945273634,0.0,103.0,False,2030-01-16 10:00:00,1.7375587080259436e-11,1.6869502019669356e-11,7.538151671308867e-12,0,1,,True
86512-90012-2,Line,86512,90012,0.0008039999999999999,1243.7810945273634,0.0,103.0,False,2030-01-17 16:00:00,-82.84885374385105,80.43578033383596,63.16506862956624,0,-1,1.0,False
87510-89510-1,Line,87510,89510,0.0012265,815.3281695882594,0.0,124.0,False,2030-01-19 04:00:00,-62.72352497142484,50.58348788018132,21.970484718074403,0,-1,1.0,True
87510-89510-2,Line,87510,89510,0.0012469,801.9889325527307,0.0,103.0,False,2030-01-19 04:00:00,-61.69733208553418,59.90032241313998,26.017168315932732,0,-1,1.0,True
87510-90210-1,Line,87510,90210,0.0007344999999999999,1361.4703880190607,0.0,193.0,False,2030-01-20 01:00:00,79.04529092750683,40.956109288863644,11.521616017454384,0,1,,True
87900-87901-1,Line,87900,87901,0.0007231099999999999,1382.915462377785,0.0,235.0,False,2030-01-20 16:00:00,126.80165195458456,53.958149767908324,15.792074749006593,0,1,1.0,True
90011-90012-1,Line,90011,90012,1.0000000000000002e-06,999999.9999999999,0.0,652.0,False,2030-01-20 14:00:00,67.60114583658846,10.368273901317249,6.355804619156599,0,1,,False
90011-90511-1,Line,90011,90511,0.00042439999999999996,2356.26767200754,0.0,113.0,False,2030-01-17 18:00:00,73.74999999999648,65.2654867256606,53.093755711017444,0,1,1.0,False
90011-90512-2,Line,90011,90512,0.00042439999999999996,2356.26767200754,0.0,113.0,False,2030-01-16 10:00:00,-1.4505049938939862e-11,1.2836327379592799e-11,5.862379422439982e-12,0,-1,,True
90020-90420-1,Line,90020,90420,8.62e-05,11600.92807424594,0.0,881.0,False,2030-01-20 18:00:00,-165.39764395234985,18.773852889029495,10.994603085948967,0,-1,,False
90020-90420-2,Line,90020,90420,8.62e-05,11600.92807424594,0.0,881.0,False,2030-01-20 18:00:00,-165.39764395234985,18.773852889029495,10.994603085948967,0,-1,,False
90210-90310-1,Line,90210,90310,0.0008196999999999999,1219.9585214102722,0.0,193.0,False,2030-01-20 10:00:00,129.03083050278966,66.85535259211899,26.15581279443443,0,1,1.0,True
90310-90331-1,Line,90310,90331,7.259999999999999e-06,137741.04683195593,0.0,144.0,False,2030-01-16 10:00:00,-2.997190828857299e-10,2.081382520039791e-10,9.928827954936528e-11,0,-1,,True
90320-90420-1,Line,90320,90420,2.27e-05,44052.86343612335,0.0,881.0,False,2030-01-20 14:00:00,259.37552818353015,29.441036116178225,9.182242666582487,0,1,,True
90320-90420-2,Line,90320,90420,2.27e-05,44052.86343612335,0.0,881.0,False,2030-01-20 14:00:00,259.37552818353015,29.441036116178225,9.182242666582487,0,1,,True
T1742-17431-1,Transformer,1742,17431,0.00029,3448.2758620689656,0.0,350.0,False,2030-01-15 18:00:00,155.6663545890257,44.4761013111502,22.95060952475972,0,1,,False
T3662-36671-1,Transformer,3662,36671,4.3711340206185565e-05,22877.35849056604,0.0,582.0,False,2030-01-15 04:00:00,582.0000000000091,100.00000000000155,92.32268492122786,75,1,0.9820359281437125,True
T54640-54630-1,Transformer,54640,54630,4.1237113402061855e-05,24250.0,0.0,582.0,False,2030-01-15 02:00:00,582.0000000000088,100.0000000000015,82.75144874998566,4,1,0.8742138364779874,True
T79010-79015-1,Transformer,79010,79015,0.000213,4694.835680751174,0.05235987755982989,125.0,True,2030-01-15 08:00:00,-54.87266307638694,43.89813046110955,15.153495876201598,0,-1,,True
T79015-79016-1,Transformer,79015,79016,0.00020738958,4821.843026057529,0.0,125.0,False,2030-01-15 08:00:00,-54.87266307636601,43.89813046109281,15.153495876197903,0,-1,,True
T79015-79017-1,Transformer,79015,79017,0.00099,1010.1010101010102,0.0,125.0,False,2030-01-20 15:00:00,-1.7249490030790682e-11,1.3799592024632546e-11,7.018337253230968e-12,0,-1,,True
T86220-86280-1,Transformer,86220,86280,0.0007141437499999999,1400.2783053131811,0.0,100.0,False,2030-01-16 10:00:00,-1.0971126784831142e-11,1.0971126784831142e-11,4.358469670862659e-12,0,-1,,True
T86220-86280-2,Transformer,86220,86280,0.0007141437499999999,1400.2783053131811,0.0,100.0,False,2030-01-16 10:00:00,-1.0971126784831142e-11,1.0971126784831142e-11,4.358469670862659e-12,0,-1,,True
T89510-89515-1,Transformer,89510,89515,0.000213,4694.835680751174,0.29670597283903605,125.0,True,2030-01-18 19:00:00,-123.00000000050682,98.40000000040546,92.15062900241658,0,-1,1.0,False
T89515-89516-1,Transformer,89515,89516,0.00022157324999999998,4513.180178563975,0.0,125.0,False,2030-01-18 19:00:00,-123.00000000046064,98.40000000036852,92.15062900239387,0,-1,1.0,False
T89515-89517-1,Transformer,89515,89517,0.00099,1010.1010101010102,0.0,125.0,False,2030-01-16 10:00:00,-2.245349739471436e-11,1.796279791577149e-11,7.898214897964155e-12,0,-1,,True
T1072-1041-10421-2-w1,Transformer,star:1072-1041-10421-2,1072,0.0011149999999999999,896.8609865470853,-0.0,125.0,False,2030-01-17 18:00:00,-57.47345468222576,45.978763745780604,27.92561822317242,0,-1,,False
T1072-1041-10421-2-w2,Transformer,star:1072-1041-10421-2,1041,0.00012499999999999998,8000.000000000002,-0.0,999.0,False,2030-01-17 18:00:00,57.47345468222824,5.753098566789613,3.494196474371917,0,1,,False
T1122-1121-11221-1-w1,Transformer,star:1122-1121-11221-1,1122,0.000506,1976.284584980237,-0.0,250.0,False,2030-01-14 18:00:00,-66.80431081330417,26.721724325321667,9.940777146104741,0,-1,,True
T1122-1121-11221-1-w2,Transformer,star:1122-1121-11221-1,1121,0.00012500000000000003,7999.999999999998,-0.0,999.0,False,2030-01-14 18:00:00,66.80431081332415,6.687118199531946,2.4876819684961493,0,1,,True
T1122-1121-11222-2-w1,Transformer,star:1122-1121-11222-2,1122,0.000506,1976.284584980237,-0.0,250.0,False,2030-01-14 18:00:00,-66.80431081330362,26.721724325321443,9.94077714610454,0,-1,,True
T1122-1121-11222-2-w2,Transformer,star:1122-1121-11222-2,1121,0.00012500000000000003,7999.999999999998,-0.0,999.0,False,2030-01-14 18:00:00,66.80431081332642,6.687118199532175,2.487681968496355,0,1,,True
T1212-1211-12121-1-w1,Transformer,star:1212-1211-12121-1,1212,0.0005123511445825086,1951.7864077669897,-0.0,250.0,False,2030-01-18 13:00:00,178.53920773603878,71.4156830944155,37.22043822145209,0,1,1.0,True
T1212-1211-12121-1-w2,Transformer,star:1212-1211-12121-1,1211,0.00012500000000000003,7999.999999999998,-0.0,999.0,False,2030-01-18 13:00:00,-178.5392077359803,17.871792566164196,9.314423979339367,0,-1,,True
T1212-12111-12122-2-w1,Transformer,star:1212-12111-12122-2,1212,0.0005123511445825086,1951.7864077669897,-0.0,250.0,False,2030-01-18 13:00:00,178.48048314298345,71.39219325719338,37.20810748299612,0,1,1.0,True
T1212-12111-12122-2-w2,Transformer,star:1212-12111-12122-2,12111,0.00012500000000000003,7999.999999999998,-0.0,999.0,False,2030-01-18 13:00:00,-178.48048314292558,17.865914228521078,9.311338208954972,0,-1,,True
T1244-1243-12402-1-w1,Transformer,star:1244-1243-12402-1,1244,9.176084226794166e-05,10897.894736842105,-0.0,999.0,False,2030-01-18 19:00:00,-2.4476764365344295e-10,2.450126563097527e-11,1.0769190533648349e-11,0,-1,,True
T1244-1243-12402-1-w2,Transformer,star:1244-1243-12402-1,1243,0.00012499999999999998,8000.000000000002,-0.0,999.0,False,2030-01-20 08:00:00,-1.1859334000940969e-10,1.1871205206147116e-11,5.216937115491262e-12,0,-1,,True
T1472-1471-14721-1-w1,Transformer,star:1472-1471-14721-1,1472,0.000521,1919.3857965451057,-0.0,250.0,False,2030-01-17 18:00:00,-103.10000000009255,41.24000000003702,33.72407651402098,0,-1,,False
