branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2341-1,39420,0.0013315579226940433,-0.0013315579226940433,450.0,1
1021-2341-1,44731,0.0013315579227843322,-0.0013315579227843322,483.0,1
1021-2341-1,44732,0.0013315579227695246,-0.0013315579227695246,483.0,1
1021-2341-1,44733,0.0013315579227695107,-0.0013315579227695107,483.0,1
1021-2341-1,51911,0.0013315579228707075,-0.0013315579228707075,139.2,2
1021-2341-1,52610,0.0013315579226957919,-0.0013315579226957919,46.3,3
1021-2341-1,66094,0.001331557922778226,-0.001331557922778226,58.0,1
1021-2341-1,66096,0.0013315579224491003,-0.0013315579224491003,84.0,1
1021-2341-1,66123,0.0013315579228120877,-0.0013315579228120877,370.0,2
1021-2341-1,68090,0.0013315579227303198,-0.0013315579227303198,34.0,1
1021-2341-1,70010,0.0013315579228700969,-0.0013315579228700969,82.5,4
1021-2341-1,71011,0.001331557922863491,-0.001331557922863491,50.15,3
1021-2341-1,73500,0.0013315579228717067,-0.0013315579228717067,47.5,1
