outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1081-32810-1,159,True,Line,2,T3464-3462-34641-1-w2,Transformer,1.047,100.11,5313.0,1,0.196,55,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1,0.14,1,0,0.0,0,0.0,0.0,100.1,1
1101-2161-1,50,True,Line,2,1122-1742-1,Line,2.2,100.25,5312.4,1,3.394,33,0,0.0,0,0.0,0.0,100.1,1,1.408,1,0,0.0,0,0.0,0.0,100.1,1,1.408,1,0,0.0,0,0.0,0.0,100.1,1,1.408,1,0,0.0,0,0.0,0.0,100.1,1
1101-2161-1,108,True,Line,2,T3464-3462-34641-1-w2,Transformer,1.541,100.16,7006.9,1,2.132,55,0,0.0,0,0.0,0.0,100.1,1,1.491,1,0,0.0,0,0.0,0.0,100.1,1,1.491,1,0,0.0,0,0.0,0.0,100.1,1,1.491,1,0,0.0,0,0.0,0.0,100.1,1
1101-2161-1,159,True,Line,2,T3464-3462-34641-1-w2,Transformer,1.301,100.13,5313.0,1,1.173,55,0,0.0,0,0.0,0.0,100.1,1,0.842,1,0,0.0,0,0.0,0.0,100.1,1,0.842,1,0,0.0,0,0.0,0.0,100.1,1,0.842,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,58,True,Line,1,3581-89516-1,Line,0.457,100.37,4583.8,1,1.635,26,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,79,True,Line,1,3581-89516-1,Line,0.457,100.37,2728.8,1,1.441,26,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,94,True,Line,1,3581-89516-1,Line,0.457,100.37,5470.0,1,1.386,26,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,145,True,Line,1,3581-89516-1,Line,0.457,100.37,4124.9,1,1.289,26,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,152,True,Line,1,3581-89516-1,Line,0.457,100.37,4161.2,1,1.172,25,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,159,True,Line,3,3581-89516-1,Line,3.029,100.37,5313.0,0,7.397,80,0,0.0,0,0.535,0.0,100.11,1,23.443,2,0,0.0,0,0.0,0.0,100.1,1,14.233,5,0,0.0,0,0.0,0.0,100.1,1,5.26,2,0,0.0,0,0.0,0.0,100.1,1
1121-3181-1,167,True,Line,1,3581-89516-1,Line,0.457,100.37,3161.9,1,1.06,26,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1,0.661,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,50,True,Line,3,3581-89516-1,Line,13.594,104.03,5312.4,1,24.98,26,1,0.579,0,0.0,100.12,100.12,1,9.724,2,0,0.0,0,0.0,0.0,100.1,1,9.724,2,0,0.0,0,0.0,0.0,100.1,1,9.724,3,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,58,True,Line,3,3581-89516-1,Line,3.89,101.81,4583.8,1,10.286,26,0,0.0,0,0.0,0.0,100.1,1,4.155,1,0,0.0,0,0.0,0.0,100.1,1,4.155,1,0,0.0,0,0.0,0.0,100.1,1,4.155,2,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,65,True,Line,3,3581-89516-1,Line,13.162,103.93,5388.6,1,32.736,22,0,0.0,0,0.0,0.0,100.1,1,9.999,1,0,0.0,0,0.0,0.0,100.1,1,9.999,1,0,0.0,0,0.0,0.0,100.1,1,9.999,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,72,True,Line,3,3581-89516-1,Line,13.692,104.05,5745.9,1,30.961,19,0,0.0,0,0.0,0.0,100.1,1,12.277,1,0,0.0,0,0.0,0.0,100.1,1,12.277,1,0,0.0,0,0.0,0.0,100.1,1,12.277,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,79,True,Line,3,3581-89516-1,Line,2.852,101.57,2728.8,1,7.802,26,0,0.0,0,0.0,0.0,100.1,1,3.576,1,0,0.0,0,0.0,0.0,100.1,1,3.576,1,0,0.0,0,0.0,0.0,100.1,1,3.576,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,94,True,Line,3,3581-89516-1,Line,12.192,103.71,5470.0,1,18.433,26,0,0.0,0,0.0,0.0,100.1,1,8.783,1,0,0.0,0,0.0,0.0,100.1,1,8.783,1,0,0.0,0,0.0,0.0,100.1,1,8.783,2,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,101,True,Line,3,T3464-3462-34641-1-w1,Transformer,28.245,102.81,5965.5,1,104.265,53,0,0.0,0,0.0,0.0,100.1,1,72.921,1,0,0.0,0,0.0,0.0,100.1,1,72.921,1,0,0.0,0,0.0,0.0,100.1,1,72.921,3,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,108,True,Line,6,3581-89516-1,Line,45.516,104.05,7006.9,0,135.156,75,0,0.0,0,0.944,0.0,100.19,1,95.024,4,0,0.0,0,0.0,0.0,100.1,0,377.484,9,0,0.0,0,0.797,0.0,100.16,1,88.389,5,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,145,True,Line,1,3581-89516-1,Line,1.107,100.9,4124.9,1,3.799,26,0,0.0,0,0.0,0.0,100.1,1,1.947,1,0,0.0,0,0.0,0.0,100.1,1,1.947,1,0,0.0,0,0.0,0.0,100.1,1,1.947,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,152,True,Line,2,3581-89516-1,Line,1.952,101.33,4161.2,1,5.32,25,0,0.0,0,0.0,0.0,100.1,1,2.999,1,0,0.0,0,0.0,0.0,100.1,1,2.999,1,0,0.0,0,0.0,0.0,100.1,1,2.999,1,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,159,True,Line,4,3581-89516-1,Line,12.664,101.48,5313.0,0,42.227,80,0,0.0,0,0.679,0.0,100.14,1,44.663,2,0,0.0,0,0.0,0.0,100.1,0,144.507,6,0,0.0,0,0.847,0.0,100.17,1,30.042,2,0,0.0,0,0.0,0.0,100.1,1
1122-11260-1,167,True,Line,1,3581-89516-1,Line,0.285,100.23,3161.9,1,0.514,26,0,0.0,0,0.0,0.0,100.1,1,0.32,1,0,0.0,0,0.0,0.0,100.1,1,0.32,1,0,0.0,0,0.0,0.0,100.1,1,0.32,1,0,0.0,0,0.0,0.0,100.1,1
1131-2131-1,7,True,Line,1,3581-89516-1,Line,0.138,100.11,6073.6,1,0.04,16,0,0.0,0,0.0,0.0,100.1,1,0.03,1,0,0.0,0,0.0,0.0,100.1,1,0.03,1,0,0.0,0,0.0,0.0,100.1,1,0.03,1,0,0.0,0,0.0,0.0,100.1,1
1131-2131-1,108,True,Line,1,3581-89516-1,Line,0.143,100.12,7006.9,1,0.094,20,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1,0.039,1,0,0.0,0,0.0,0.0,100.1,1
1131-2131-1,123,True,Line,1,3581-89516-1,Line,0.141,100.11,5593.8,1,0.049,13,0,0.0,0,0.0,0.0,100.1,1,0.037,1,0,0.0,0,0.0,0.0,100.1,1,0.037,1,0,0.0,0,0.0,0.0,100.1,1,0.037,1,0,0.0,0,0.0,0.0,100.1,1
