outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1031-4221-1,145,False,Line,1,3581-89516-1,Line,1.693,101.38,4124.9,1,6.015,26,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1,3.096,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,152,False,Line,1,3581-89516-1,Line,1.968,101.6,4161.2,1,6.433,25,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1,3.639,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,159,False,Line,1,3581-89516-1,Line,1.348,101.1,5313.0,1,4.188,25,2,1.11,0,0.0,100.11,100.11,1,2.416,1,2,1.071,0,0.0,100.11,100.11,1,9.817,3,0,0.0,0,0.0,0.0,100.1,1,2.619,2,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,167,False,Line,1,3581-89516-1,Line,1.022,100.83,3161.9,1,2.837,26,0,0.0,0,0.0,0.0,100.1,1,1.773,1,0,0.0,0,0.0,0.0,100.1,1,1.773,1,0,0.0,0,0.0,0.0,100.1,1,1.773,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,101,False,Line,2,T3464-3462-34641-1-w2,Transformer,1.374,100.14,5965.5,1,1.41,52,0,0.0,0,0.0,0.0,100.1,1,1.0,1,0,0.0,0,0.0,0.0,100.1,1,1.0,1,0,0.0,0,0.0,0.0,100.1,1,1.0,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,108,False,Line,2,T3464-3462-34641-1-w2,Transformer,2.756,100.28,7006.9,1,6.64,54,0,0.0,0,0.0,0.0,100.1,1,4.689,1,0,0.0,0,0.0,0.0,100.1,1,4.689,1,0,0.0,0,0.0,0.0,100.1,1,4.689,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,116,False,Line,1,3581-89516-1,Line,0.205,100.17,4604.0,1,0.238,7,0,0.0,0,0.0,0.0,100.1,1,0.203,1,0,0.0,0,0.0,0.0,100.1,1,0.203,1,0,0.0,0,0.0,0.0,100.1,1,0.203,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,159,False,Line,2,T3464-3462-34641-1-w2,Transformer,5.407,100.54,5313.0,1,16.237,54,0,0.0,0,0.0,0.0,100.1,1,11.77,1,0,0.0,0,0.0,0.0,100.1,1,11.77,1,0,0.0,0,0.0,0.0,100.1,1,11.77,1,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,50,False,Line,2,3082-3122-1,Line,1.669,100.16,5312.4,1,1.783,19,0,0.0,0,0.0,0.0,100.1,1,1.057,1,0,0.0,0,0.0,0.0,100.1,1,1.057,1,0,0.0,0,0.0,0.0,100.1,1,0.88,2,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,101,False,Line,2,T3464-3462-34641-1-w2,Transformer,9.505,100.95,5965.5,1,32.172,53,0,0.0,0,0.0,0.0,100.1,1,22.748,1,0,0.0,0,0.0,0.0,100.1,1,22.748,1,0,0.0,0,0.0,0.0,100.1,1,22.748,1,0,0.0,0,0.0,0.0,100.1,1
